




/usr/lib/python3.7/threading.py:885: size=820 B, count=4, average=205 B
<frozen importlib._bootstrap>:677: size=814 B, count=6, average=136 B
/usr/lib/python3.7/threading.py:885: size=808 B, count=2, average=404 B
<frozen importlib._bootstrap>:219: size=807 B, count=7, average=115 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=790 B, count=8, average=99 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=790 B, count=8, average=99 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=790 B, count=8, average=99 B
/usr/lib/python3.7/importlib/__init__.py:127: size=786 B, count=7, average=112 B
/usr/lib/python3.7/threading.py:917: size=784 B, count=14, average=56 B
/usr/lib/python3.7/threading.py:885: size=776 B, count=2, average=388 B
<frozen importlib._bootstrap>:677: size=768 B, count=7, average=110 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=766 B, count=6, average=128 B
<frozen importlib._bootstrap>:677: size=763 B, count=6, average=127 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=761 B, count=13, average=59 B
/usr/lib/python3.7/threading.py:917: size=760 B, count=2, average=380 B
/usr/lib/python3.7/optparse.py:90: size=760 B, count=2, average=380 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/__init__.py:40: size=759 B, count=19, average=40 B
<frozen importlib._bootstrap>:983: size=756 B, count=14, average=54 B
/usr/lib/python3.7/threading.py:865: size=754 B, count=7, average=108 B
/usr/lib/python3.7/threading.py:885: size=748 B, count=2, average=374 B
/usr/lib/python3.7/threading.py:885: size=748 B, count=2, average=374 B
/usr/lib/python3.7/threading.py:885: size=744 B, count=4, average=186 B
/usr/lib/python3.7/threading.py:885: size=744 B, count=2, average=372 B
/usr/lib/python3.7/threading.py:885: size=740 B, count=2, average=370 B
/usr/lib/python3.7/threading.py:885: size=736 B, count=2, average=368 B
/usr/lib/python3.7/threading.py:917: size=728 B, count=3, average=243 B
/usr/lib/python3.7/threading.py:885: size=724 B, count=2, average=362 B
/home/pi/wladio/venv/lib/python3.7/site-packages/urllib3/connectionpool.py:440: size=724 B, count=2, average=362 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=724 B, count=2, average=362 B
/usr/lib/python3.7/threading.py:865: size=720 B, count=2, average=360 B
/usr/lib/python3.7/threading.py:885: size=712 B, count=3, average=237 B
/home/pi/wladio/radio/weather.py:62: size=708 B, count=2, average=354 B
/home/pi/wladio/radio/bluetooth.py:22: size=706 B, count=5, average=141 B
/usr/lib/python3.7/threading.py:865: size=704 B, count=2, average=352 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:76: size=704 B, count=2, average=352 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=702 B, count=12, average=58 B
<frozen importlib._bootstrap>:1006: size=700 B, count=25, average=28 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=698 B, count=6, average=116 B
/usr/lib/python3.7/threading.py:1281: size=696 B, count=2, average=348 B
/usr/lib/python3.7/threading.py:885: size=696 B, count=2, average=348 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/sessions.py:655: size=696 B, count=2, average=348 B
/usr/lib/python3.7/threading.py:885: size=688 B, count=2, average=344 B
/usr/lib/python3.7/threading.py:885: size=684 B, count=2, average=342 B
/usr/lib/python3.7/threading.py:1281: size=680 B, count=2, average=340 B
/usr/lib/python3.7/threading.py:885: size=680 B, count=2, average=340 B
/home/pi/wladio/venv/lib/python3.7/site-packages/urllib3/connectionpool.py:706: size=680 B, count=2, average=340 B
<frozen importlib._bootstrap>:677: size=660 B, count=2, average=330 B
<frozen importlib._bootstrap>:677: size=660 B, count=2, average=330 B
<frozen importlib._bootstrap>:677: size=660 B, count=2, average=330 B
<frozen importlib._bootstrap>:677: size=660 B, count=2, average=330 B
<frozen importlib._bootstrap>:1006: size=650 B, count=17, average=38 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:76: size=648 B, count=12, average=54 B
/usr/lib/python3.7/threading.py:885: size=640 B, count=24, average=27 B
<frozen importlib._bootstrap>:677: size=626 B, count=8, average=78 B
<frozen importlib._bootstrap_external>:728: size=613 B, count=17, average=36 B
<frozen importlib._bootstrap>:677: size=600 B, count=2, average=300 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/sessions.py:655: size=596 B, count=2, average=298 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=591 B, count=18, average=33 B
<frozen importlib._bootstrap>:677: size=590 B, count=9, average=66 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
<frozen importlib._bootstrap>:677: size=588 B, count=1, average=588 B
/usr/lib/python3.7/threading.py:885: size=588 B, count=1, average=588 B
/usr/lib/python3.7/threading.py:865: size=588 B, count=1, average=588 B
/usr/lib/python3.7/importlib/__init__.py:127: size=588 B, count=1, average=588 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/sessions.py:542: size=588 B, count=1, average=588 B
